"class","category","indicator_name","series_name","sub_series_name","parameter","value","units","date_last_updated"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2007-05-01","100.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2007-06-01"," 91.5","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2007-07-01"," 93.4","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2007-08-01"," 96.2","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2007-09-01"," 84.5","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2007-10-01"," 85.5","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2007-11-01"," 87.5","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2007-12-01"," 59.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2008-01-01"," 92.5","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2008-02-01"," 96.4","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2008-03-01"," 92.8","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2008-04-01"," 95.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2008-05-01"," 98.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2008-06-01"," 87.2","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2008-07-01"," 95.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2008-08-01"," 80.3","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2008-09-01"," 77.9","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2008-10-01"," 67.2","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2008-11-01"," 54.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2008-12-01"," 40.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2009-01-01"," 48.6","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2009-02-01"," 42.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2009-03-01"," 40.3","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2009-04-01"," 36.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2009-05-01"," 39.9","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2009-06-01"," 35.3","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2009-07-01"," 35.4","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2009-08-01"," 33.6","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2009-09-01"," 36.2","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2009-10-01"," 36.4","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2009-11-01"," 33.4","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2009-12-01"," 27.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2010-01-01"," 38.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2010-02-01"," 40.9","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2010-03-01"," 48.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2010-04-01"," 43.4","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2010-05-01"," 46.8","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2010-06-01"," 47.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2010-07-01"," 48.2","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2010-08-01"," 46.6","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2010-09-01"," 45.6","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2010-10-01"," 44.0","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2010-11-01"," 44.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2010-12-01"," 32.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2011-01-01"," 46.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2011-02-01"," 48.5","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2011-03-01"," 55.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2011-04-01"," 52.1","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2011-05-01"," 58.7","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2011-06-01"," 55.3","Index","12-02-21"
"Economic","Employment","Jobs online measure by industry","Accounting, HR, legal and admin","Accounting, HR, legal and admin","2011-07-01"," 57.1","Index","12-02-21"
